feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target
A11,S1_VH,0.33053021413809774,-0.08380674008505705,0.033340332912827265
A12,S1_VH,0.06954625165530742,0.009818152681867212,0.0070150778471902335
A13,S1_VH,0.015703730003361453,0.0021694443320994044,0.001584023377864254
A14,S1_VH,0.2862891028621489,-0.12101538578945795,0.028877765452179627
A15,S1_VH,0.026037202314977595,-0.00013413988293254,0.002626352920756879
A16,S1_VH,0.02066450943543848,0.0091700662171163,0.002084413450232802
A17,S1_VH,0.1651817083290535,0.0022317903894646073,0.016661754088536138
A18,S1_VH,0.04820082321375479,0.008000757986154456,0.004861980611392726
A19,S1_VH,0.1681395497204582,-0.05507324268736213,0.016960109314396277
A20,S1_VH,0.011392575405637251,-0.0022583832998043295,0.001149160471604383
A21,S1_VH,0.03372030577236726,0.0021721001554111394,0.0034013417602523246
A22,S1_VH,0.025885768158075664,0.006438026190139796,0.0026110778717915394
A23,S1_VH,0.013054981968341872,0.004527290929076954,0.001316846165275594
A24,S1_VH,0.10784197690098254,-0.04026714761508748,0.010877938711993109
A25,S1_VH,0.5438244299725902,0.05272775752012051,0.05485515927399998
A26,S1_VH,0.46737148119526,0.2026237362416655,0.04714340810761934
A27,S1_VH,3.1368989911351854,0.427270395876043,0.3164166306280933
A28,S1_VH,0.031236508355955064,-0.00882852610393225,0.003150802991906615
A29,S1_VH,0.10471394778066449,-0.004738811479047898,0.010562416778531229
A30,S1_VH,0.018505970670108826,-0.006822421919716664,0.0018666832762183143
A31,S1_VH,0.03958315705586071,0.020180875434563306,0.003992723138562266
A32,S1_VH,0.036169731029918745,0.0027519489473400837,0.003648413434909378
A33,S1_VH,0.016719038577639057,-0.007399574121287782,0.001686436786465745
A34,S1_VH,0.3061886912037931,-0.011823821645053937,0.030885021889745227
A35,S1_VH,0.056842995717358645,0.000454864050092513,0.005733710020795071
A36,S1_VH,0.022751823970012703,0.016767988349719883,0.0022949592899163466
A37,S1_VH,0.07017417341054376,-0.01580788987761326,0.0070784158401098135
A38,S1_VH,0.018323974241877133,-0.0014129975136545803,0.0018483254340403675
A39,S1_VH,0.09160060490491806,-0.011370084365917054,0.009239683792630063
A40,S1_VH,0.03107564491596408,-0.0035901449884355474,0.003134576818281951
A41,S1_VH,0.021201308830400514,-0.0023598179375832686,0.002138559999534225
A42,S1_VH,0.016404410984267915,0.005381334573266931,0.0016547005388918008
A43,S1_VH,0.03994220896581796,-0.009490041281847482,0.004028940433378043
A44,S1_VH,0.07513221265305398,-0.0006702646873051442,0.007578529511627565
A45,S1_VH,0.11449660589762355,-0.00030528962887360205,0.011549186109868412
A46,S1_VH,0.0758754818388771,0.0738999677636558,0.007653502512700428
A47,S1_VH,0.015348614788594122,0.00029469912847011307,0.0015482031745172576
A48,S1_VH,0.021318524383536055,0.0002970325670520406,0.0021503834437972273
A49,S1_VH,0.28933479245111815,-0.07727437918174672,0.02918498185933973
A50,S1_VH,0.06695301386013038,0.02137184410610668,0.006753499910544461
A51,S1_VH,0.025080854809193795,-0.004996975233360529,0.0025298868705764797
A52,S1_VH,0.05329245212336794,-0.01771200000782071,0.005375569371675175
A53,S1_VH,0.036964073516912936,0.001966616626842471,0.003728538161274407
A54,S1_VH,0.024854938959776786,-0.0036221747028604132,0.0025070989095742208
A55,S1_VH,0.022669035110001446,-0.002254601651622273,0.002286608440171955
A56,S1_VH,0.022201097032808478,-0.011234590282758328,0.0022394078799542333
A57,S1_VH,0.015427207387047202,-0.0025906210217882582,0.0015561307505294615
A58,S1_VH,0.07160323425145021,-0.028817611359979827,0.007222564127166559
A59,S1_VH,0.12401967206738489,-0.030546506790758727,0.012509770597669794
A60,S1_VH,0.018103223477834596,0.006881160622764386,0.0018260584712964892
A61,S1_VH,0.017270728800279782,-0.002956676626480881,0.001742085362301867
A62,S1_VH,0.06871102077968065,0.0067137207395110325,0.0069308287399638836
A63,S1_VH,1.8900403774384387,-0.05909013743091977,0.19064694453668107
A00,S1_VV_div_VH,0.021117268500996548,0.0013864882830862347,0.004487692755325928
A01,S1_VV_div_VH,0.08780193859580056,-0.01104500626880736,0.01865904786508499
A02,S1_VV_div_VH,0.034640833357002056,0.012714533442271123,0.007361625244634962
A03,S1_VV_div_VH,0.09488673098965851,0.0021256686429832854,0.0201646579063365
A04,S1_VV_div_VH,0.05070232255034161,0.017598798291047903,0.010774899489326889
