feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target,pearson_r,pearson_abs_r,pearson_p_value,shap_rank_within_target,pearson_rank_within_target,combined_rank_within_target
A33,S1_VH,0.016719038577639057,-0.007399574121287782,0.001686436786465745,0.005284219237418603,0.005284219237418603,0.7912701696312199,58.0,64.0,61.0
A27,S1_VV,1.279310705425766,0.07004986616940538,0.1605952602096039,0.8571802084867841,0.8571802084867841,0.0,2.0,4.0,3.0
A11,S1_VV,0.6108265732702473,-0.09312859709862781,0.07667867708855675,0.8611382923347886,0.8611382923347886,0.0,3.0,3.0,3.0
A63,S1_VV,1.5595391355059771,0.026695691271528633,0.19577307702610808,-0.8450643066614028,0.8450643066614028,0.0,1.0,6.0,3.5
A17,S1_VV,0.37474461217037486,0.14849616235261348,0.04704268341412751,0.8456270900268109,0.8456270900268109,0.0,6.0,5.0,5.5
A30,S1_VV,0.11029465919512109,-0.006399721467875783,0.013845580606843337,0.8901466760490555,0.8901466760490555,0.0,13.0,1.0,7.0
A34,S1_VV,0.4995095089272891,0.10076541471277912,0.06270475125638217,0.8123026014702208,0.8123026014702208,0.0,4.0,11.0,7.5
A36,S1_VV,0.09721223121627727,0.015582731771525698,0.012203308783020365,-0.8849340734476749,0.8849340734476749,0.0,16.0,2.0,9.0
A49,S1_VV,0.3763952545882457,-0.11518162224607455,0.04724989292741206,0.6551105831398742,0.6551105831398742,8.384701969773272e-308,5.0,22.0,13.5
A44,S1_VV,0.23539674957622692,0.05438994641561562,0.02954997725756368,0.7132202493289608,0.7132202493289608,0.0,8.0,19.0,13.5
A48,S1_VV,0.07073756933502609,0.02755902744342755,0.008879874377485698,0.8251991491173247,0.8251991491173247,0.0,19.0,9.0,14.0
A43,S1_VV,0.05951732185455335,-0.017715471537039378,0.007471367002302765,-0.8352029407479179,0.8352029407479179,0.0,21.0,7.0,14.0
A14,S1_VV,0.2155394050020841,-0.06347097349220099,0.02705723221491596,-0.7083440874532211,0.7083440874532211,0.0,9.0,20.0,14.5
A42,S1_VV,0.05181437359783733,0.033047245478030056,0.006504395511779108,-0.7956433166532424,0.7956433166532424,0.0,24.0,13.0,18.5
A39,S1_VV,0.3242144432353367,-0.08907929765233444,0.040699497513985314,-0.6104815478745726,0.6104815478745726,2.288740503955545e-256,7.0,32.0,19.5
A26,S1_VV,0.1927206583549015,0.106124382631241,0.024192734528842342,-0.5855046835550954,0.5855046835550954,5.282305172754456e-231,10.0,33.0,21.5
A31,S1_VV,0.038945327796141536,0.02290352318552702,0.004888910117646627,-0.8227404785622041,0.8227404785622041,0.0,34.0,10.0,22.0
A50,S1_VV,0.041069757279199065,0.011867011179535467,0.005155595375716935,-0.7638709930795039,0.7638709930795039,0.0,33.0,17.0,25.0
A57,S1_VV,0.026023840238590633,-0.014287419207441704,0.003266841571046428,-0.8266112260681742,0.8266112260681742,0.0,42.0,8.0,25.0
A19,S1_VV,0.1478901377676519,-0.021823406791090523,0.018565040577320786,0.3863480358102768,0.3863480358102768,3.477462300561302e-90,11.0,43.0,27.0
A46,S1_VV,0.05061222375387618,0.0038107398143545895,0.006353486458815604,0.6277867245816804,0.6277867245816804,2.5794206106915778e-275,25.0,29.0,27.0
A05,S1_VV,0.025546069381787485,-0.004981359993801161,0.003206865730350769,-0.7920282817482264,0.7920282817482264,0.0,44.0,15.0,29.5
A61,S1_VV,0.02494398608833949,-0.0066941428891786805,0.0031312846203287465,0.7922404153341729,0.7922404153341729,0.0,45.0,14.0,29.5
A32,S1_VV,0.04402056693169641,0.003367725806568044,0.005526018324545545,-0.6161369294624376,0.6161369294624376,1.9826275338932422e-262,29.0,31.0,30.0
A08,S1_VV,0.10782070704499684,-0.017761906707956115,0.013535018842910402,-0.3083076193578659,0.3083076193578659,1.9720219617369662e-56,14.0,47.0,30.5
A29,S1_VV,0.10285220954869484,0.010264827075679227,0.012911310196617294,0.31315753983795647,0.31315753983795647,2.954938783591754e-58,15.0,46.0,30.5
A07,S1_VV,0.029648918814430394,0.006631237955507149,0.0037219072831507407,-0.647116473170577,0.647116473170577,5.958608361721331e-298,37.0,24.0,30.5
A13,S1_VV,0.02900826629721047,0.0003300687650217882,0.003641484476345079,0.6456707842622743,0.6456707842622743,3.3509738152063335e-296,38.0,25.0,31.5
A03,S1_VV,0.048225483130291194,-0.010528327583615183,0.006053872588727728,0.48006540112641055,0.48006540112641055,6.242157842453286e-145,27.0,37.0,32.0
A15,S1_VV,0.05416804233913972,0.010188433162426317,0.006799857780916355,-0.3266372780888618,0.3266372780888618,1.6509469428676858e-63,22.0,45.0,33.5
A35,S1_VV,0.022142256464755202,0.004717666823964667,0.002779576082263532,-0.6515987683671967,0.6515987683671967,1.9415612680462286e-303,47.0,23.0,35.0
A62,S1_VV,0.13609964367753147,0.02874443360812315,0.017084948635330423,-0.06948550035894341,0.06948550035894341,0.0004932634003127101,12.0,59.0,35.5
A24,S1_VV,0.027165705644573844,-0.01091840952957945,0.0034101829588894924,0.6183055344241442,0.6183055344241442,8.702336336709933e-265,41.0,30.0,35.5
A02,S1_VV,0.014173734545670235,-0.005878006716464442,0.001779266426717044,0.8018736827214109,0.8018736827214109,0.0,59.0,12.0,35.5
A55,S1_VV,0.015075233455707302,0.0027150923849765455,0.0018924339718818398,-0.782997320702089,0.782997320702089,0.0,56.0,16.0,36.0
A25,S1_VV,0.018191786082192574,-0.0029904286715244674,0.0022836630750892226,0.6925491029448223,0.6925491029448223,0.0,53.0,21.0,37.0
A21,S1_VV,0.042787406113755845,0.009397193589650696,0.005371216381907581,-0.3329855876778126,0.3329855876778126,4.461775275973553e-66,31.0,44.0,37.5
A60,S1_VV,0.03501264528923752,0.010732552644535341,0.00439523006960246,0.410881478324812,0.410881478324812,6.961670389915423e-103,35.0,40.0,37.5
A06,S1_VV,0.020847096083570955,-0.00011142820909490837,0.0026169911702892115,-0.6423826136162007,0.6423826136162007,2.953451861196118e-292,50.0,26.0,38.0
A16,S1_VV,0.06298608410720097,0.019937655835439726,0.007906809912462577,0.08982598507580464,0.08982598507580464,6.542821146433793e-06,20.0,57.0,38.5
A40,S1_VV,0.09019337074333215,0.009156285980638104,0.011322212643320366,-0.03215435390698719,0.03215435390698719,0.10720914542538026,17.0,61.0,39.0
A45,S1_VV,0.07525821974375559,-0.013242889029809777,0.009447363593066794,-0.02621238771301573,0.02621238771301573,0.18915896984422487,18.0,62.0,40.0
A04,S1_VV,0.02828363041769342,0.0057903390547679005,0.003550519015699202,0.408421810276295,0.408421810276295,1.4609982955237378e-101,39.0,41.0,40.0
A53,S1_VV,0.01875047817823653,-0.0004438270144537346,0.0023537971732099506,0.6304645363949156,0.6304645363949156,2.3519492038427277e-278,52.0,28.0,40.0
A56,S1_VV,0.011777800004892794,-0.003909705746493762,0.001478498419860356,0.7392899231476473,0.7392899231476473,0.0,62.0,18.0,40.0
