feature,target,pearson_r,pearson_abs_r,pearson_p_value
A39,S1_VH,-0.4703257770014091,0.4703257770014091,2.082348158624902e-138
A39,S1_VV_div_VH,-0.0486084190527173,0.0486084190527173,0.014851129866569817
A40,S1_VV,-0.03215435390698719,0.03215435390698719,0.10720914542538026
A40,S1_VH,0.108521171293659,0.108521171293659,4.9980126658490344e-08
A40,S1_VV_div_VH,-0.38652528127466357,0.38652528127466357,2.840063501950174e-90
A41,S1_VV,0.48345602244898095,0.48345602244898095,2.9813726575284667e-147
A41,S1_VH,0.5941631942467461,0.5941631942467461,1.5211240229045889e-239
A41,S1_VV_div_VH,-0.600135012259217,0.600135012259217,1.3753538645690675e-245
A42,S1_VV,-0.7956433166532424,0.7956433166532424,0.0
A42,S1_VH,-0.7690409930658404,0.7690409930658404,0.0
A42,S1_VV_div_VH,0.38620433780359265,0.38620433780359265,4.097448769319665e-90
A43,S1_VV,-0.8352029407479179,0.8352029407479179,0.0
A43,S1_VH,-0.8509503735874664,0.8509503735874664,0.0
A43,S1_VV_div_VH,0.5312093143720611,0.5312093143720611,7.005244785205325e-183
A44,S1_VV,0.7132202493289608,0.7132202493289608,0.0
A44,S1_VH,0.7537730710647605,0.7537730710647605,0.0
A44,S1_VV_div_VH,-0.5317049570990431,0.5317049570990431,2.7861994302255867e-183
A45,S1_VV,-0.02621238771301573,0.02621238771301573,0.18915896984422487
A45,S1_VH,-0.07800356419179255,0.07800356419179255,9.12451007937222e-05
A45,S1_VV_div_VH,0.1644376886580478,0.1644376886580478,1.110268936445205e-16
A46,S1_VV,0.6277867245816804,0.6277867245816804,2.5794206106915778e-275
A46,S1_VH,0.7100141257299373,0.7100141257299373,0.0
A46,S1_VV_div_VH,-0.6020550481609606,0.6020550481609606,1.4723184751456874e-247
A47,S1_VV,-0.28679205777086303,0.28679205777086303,9.563327468627119e-49
A47,S1_VH,-0.33859518252806586,0.33859518252806586,2.1326978147821465e-68
A47,S1_VV_div_VH,0.31605433574234176,0.31605433574234176,2.3144385541865903e-59
A48,S1_VV,0.8251991491173247,0.8251991491173247,0.0
A48,S1_VH,0.7965657268098094,0.7965657268098094,0.0
A48,S1_VV_div_VH,-0.39754652650794164,0.39754652650794164,7.548849070880315e-96
A49,S1_VV,0.6551105831398742,0.6551105831398742,8.384701969773272e-308
A49,S1_VH,0.5407485121000376,0.5407485121000376,1.0487340294839248e-190
A49,S1_VV_div_VH,-0.051654130997472514,0.051654130997472514,0.00963049465541355
A50,S1_VV,-0.7638709930795039,0.7638709930795039,0.0
A50,S1_VH,-0.8180906833311448,0.8180906833311448,0.0
A50,S1_VV_div_VH,0.6005378486416755,0.6005378486416755,5.322536059366269e-246
A51,S1_VV,0.23594247292984669,0.23594247292984669,4.1678114620139136e-33
A51,S1_VH,0.1756549349739414,0.1756549349739414,7.535389530916982e-19
A51,S1_VV_div_VH,0.036413762578203265,0.036413762578203265,0.06809378066076519
A52,S1_VV,0.1602438927954411,0.1602438927954411,6.580698771429962e-16
A52,S1_VH,0.28075272167264165,0.28075272167264165,1.0489704099810162e-46
A52,S1_VV_div_VH,-0.44035340514280014,0.44035340514280014,1.3032085336521107e-119
A53,S1_VV,0.6304645363949156,0.6304645363949156,2.3519492038427277e-278
A53,S1_VH,0.694589395790925,0.694589395790925,0.0
A53,S1_VV_div_VH,-0.5514665828181641,0.5514665828181641,8.378923360685639e-200
A54,S1_VV,0.4475600199385703,0.4475600199385703,5.832515921096972e-124
A54,S1_VH,0.3704350195796263,0.3704350195796263,1.6506768654166746e-82
A54,S1_VV_div_VH,-0.03818462925519444,0.03818462925519444,0.05572602094259475
A55,S1_VV,-0.782997320702089,0.782997320702089,0.0
A55,S1_VH,-0.8012890554441169,0.8012890554441169,0.0
A55,S1_VV_div_VH,0.5081698110108772,0.5081698110108772,5.541393471342336e-165
A56,S1_VV,0.7392899231476473,0.7392899231476473,0.0
A56,S1_VH,0.8241630345538262,0.8241630345538262,0.0
A56,S1_VV_div_VH,-0.6745389846031798,0.6745389846031798,0.0
A57,S1_VV,-0.8266112260681742,0.8266112260681742,0.0
A57,S1_VH,-0.8245957009336332,0.8245957009336332,0.0
