feature_set,target,model_name,fraction,n_train,train_r2_mean,train_r2_std,valid_r2_mean,valid_r2_std,train_rmse_mean,valid_rmse_mean
embedding_only,S1_VV,ridge,0.6,1224.0,0.9099337739204397,0.0030036981279078874,0.8657895314506373,0.0007979462188458795,1.1604501821106235,1.4703606987337061
embedding_only,S1_VV,ridge,0.8,1620.0,0.907228403372684,0.0007089032883313936,0.8673500875652241,0.0007559006887468133,1.1724762553202737,1.4617876136273473
embedding_only,S1_VV,ridge,1.0,2016.0,0.9073083288315913,0.0,0.8683787638248143,0.0,1.169832848772717,1.456112570479016
embedding_only,S1_VV_div_VH,lightgbm,0.1,216.0,0.9458319572345862,0.009988336602079621,0.5538870593318214,0.019274096296276758,0.4501288145841338,1.4048333444978196
embedding_only,S1_VV_div_VH,lightgbm,0.2,396.0,0.9661381101420806,0.006758475497513353,0.6143831549796727,0.016161689159077734,0.36103321303252334,1.3061267367013947
embedding_only,S1_VV_div_VH,lightgbm,0.4,792.0,0.9516088760883988,0.0035214166419837334,0.6477987940999398,0.01811720036495069,0.4400801390743094,1.2481616710352883
embedding_only,S1_VV_div_VH,lightgbm,0.6,1224.0,0.9396866025679295,0.001722458391154271,0.6806566981737125,0.004405578011943905,0.4986620810036027,1.188754529663896
embedding_only,S1_VV_div_VH,lightgbm,0.8,1620.0,0.929572352245425,0.002740586684736971,0.6942679784610434,0.0032150769145962758,0.5403553993657794,1.1631524301479808
embedding_only,S1_VV_div_VH,lightgbm,1.0,2016.0,0.9175105231403817,0.0,0.7070277249582745,0.0,0.5901591667445314,1.1386321094364258
embedding_only,S1_VV_div_VH,ridge,0.1,216.0,0.7369885398125787,0.03266922300023317,0.6039538294879184,0.01935270163719354,0.9946431815306659,1.3236030300001624
embedding_only,S1_VV_div_VH,ridge,0.2,396.0,0.742986591584912,0.03470714183042904,0.6497526375803226,0.01524159306527335,0.9977875732874488,1.2447712977326102
embedding_only,S1_VV_div_VH,ridge,0.4,792.0,0.7546703727815763,0.00786854694841804,0.6838481053516113,0.010586885744746245,0.9910357861357393,1.182707642356159
embedding_only,S1_VV_div_VH,ridge,0.6,1224.0,0.7574584225998096,0.0038235442046399342,0.6981142794978322,0.0021686187092872134,0.9999902319043308,1.1558183541435283
embedding_only,S1_VV_div_VH,ridge,0.8,1620.0,0.7591676116636311,0.008272439261431832,0.7040832443643094,0.0014729077115179896,0.9992588101399379,1.1443372837505974
embedding_only,S1_VV_div_VH,ridge,1.0,2016.0,0.7597206291913964,0.0,0.7076767734055887,0.0,1.0072287777645206,1.1373701518579107
embedding_plus_context,S1_VH,lightgbm,0.1,216.0,0.9973838899353265,0.00044375717206560355,0.8707582592719861,0.009709328511269934,0.2495383500148348,1.7695144044743107
embedding_plus_context,S1_VH,lightgbm,0.2,396.0,0.9988813079967672,0.00018295388941690134,0.8978453657721275,0.0027124364868070594,0.16408907353524302,1.5738324013282725
embedding_plus_context,S1_VH,lightgbm,0.4,792.0,0.9979576473982159,0.00020059110875658183,0.9245101581530729,0.0032420463055011367,0.22402400876563058,1.3527962124286408
