feature_set,target,seed,fold,r2,rmse,mae,pearson_r,best_iteration
embedding_only,S1_VV,42,1,0.8801630925081252,1.1452415886265797,0.8183010146532177,0.9401674933671901,1867.0
embedding_only,S1_VV,42,2,0.9264615203158996,1.0579979769044447,0.7929404031120384,0.9632741521960598,2713.0
embedding_only,S1_VV,42,3,0.9172297539619635,1.198449593654414,0.8416127931758413,0.9593480432396977,2772.0
embedding_only,S1_VV,42,4,0.8868863260552873,1.2262490263676908,0.8943161836399487,0.9435866019691062,1671.0
embedding_only,S1_VV,52,1,0.9038495117634059,1.1039164078322616,0.8123899914239131,0.9509350305974936,2789.0
embedding_only,S1_VV,52,2,0.8868133790730898,1.2873563075224113,0.9110424615853154,0.9434382577319362,2014.0
embedding_only,S1_VV,52,3,0.9253880281305867,1.12437384837016,0.8328130573007744,0.9641494412698401,2213.0
embedding_only,S1_VV,52,4,0.902522957281199,1.1386570164767524,0.8136226873450351,0.9517060851017596,2792.0
embedding_only,S1_VV,62,1,0.9151983106862247,1.1371752027801576,0.8031001713405052,0.9572987978650906,2793.0
embedding_only,S1_VV,62,2,0.9222680699133643,1.0881020564900186,0.7926544905482571,0.961678260303892,2568.0
embedding_only,S1_VV,62,3,0.9021579186693044,1.143916831025251,0.8322312632086707,0.9505776197118193,2796.0
embedding_only,S1_VV,62,4,0.9113602274413856,1.139895269659494,0.8264703787837817,0.9559416857388743,2761.0
embedding_plus_context,S1_VV,42,1,0.8829354775823052,1.1319166885027117,0.8270396589585364,0.9413733797893923,4751.0
embedding_plus_context,S1_VV,42,2,0.9245306346889195,1.071797803046954,0.8193942724382711,0.9620245413678239,4768.0
embedding_plus_context,S1_VV,42,3,0.9130914210442389,1.2280441307908088,0.8464798434232599,0.9567372010686088,4767.0
embedding_plus_context,S1_VV,42,4,0.8858894593452085,1.2316406175703878,0.8882316348764725,0.9427390441158585,4100.0
embedding_plus_context,S1_VV,52,1,0.8966454274584457,1.1445250148078745,0.8408591899333977,0.9472070200109636,4358.0
embedding_plus_context,S1_VV,52,2,0.8797621904633491,1.3268497463911415,0.9522958559074698,0.940103552247449,4769.0
embedding_plus_context,S1_VV,52,3,0.9317487731365657,1.075379388513662,0.7932416404174089,0.9668816896198997,4771.0
embedding_plus_context,S1_VV,52,4,0.8997188467840632,1.1549187016685112,0.805756886772771,0.9501185077439722,4771.0
embedding_plus_context,S1_VV,62,1,0.9070017549811503,1.190864929094229,0.8483949204472258,0.9525386683917614,4130.0
embedding_plus_context,S1_VV,62,2,0.9154149585726636,1.1350544314540747,0.8168990919398577,0.9576643161537126,4771.0
embedding_plus_context,S1_VV,62,3,0.8970345869923496,1.173484321880383,0.8719593554325804,0.947564853531414,4770.0
embedding_plus_context,S1_VV,62,4,0.908859528620129,1.1558627558058439,0.8392937697070925,0.9544616428577293,4767.0
embedding_only,S1_VV_div_VH,42,1,0.6304193757146489,1.0491174492378035,0.7941847708067665,0.7943128228324285,2385.0
embedding_only,S1_VV_div_VH,42,2,0.5667756735909034,1.0150759973400025,0.7575723728412711,0.753164060581317,1718.0
embedding_only,S1_VV_div_VH,42,3,0.773522823699661,1.12109895293012,0.8193735982885502,0.8798423603242138,2507.0
embedding_only,S1_VV_div_VH,42,4,0.8118746204078732,1.002391080036145,0.7770744807241221,0.9025203243246839,2494.0
embedding_only,S1_VV_div_VH,52,1,0.7017761898952942,1.0663813175811057,0.8075327734328361,0.8388147324256956,1836.0
embedding_only,S1_VV_div_VH,52,2,0.7855334337945125,1.1091463069309029,0.8136991695253912,0.8908380123654612,1810.0
embedding_only,S1_VV_div_VH,52,3,0.7237203433468296,1.131290382361758,0.8177800747734282,0.8523980677567934,1141.0
embedding_only,S1_VV_div_VH,52,4,0.6562516979344731,0.971382175132757,0.7449321029252888,0.8104095297155376,1326.0
embedding_only,S1_VV_div_VH,62,1,0.7594600637733793,1.1102030099291877,0.818131983802829,0.8728411154530413,2514.0
embedding_only,S1_VV_div_VH,62,2,0.7463592989362042,1.0669121394262648,0.7995722624905149,0.8640756696359552,1542.0
embedding_only,S1_VV_div_VH,62,3,0.677630313115201,1.0214746201936205,0.7643602926337776,0.8244877902376979,1324.0
embedding_only,S1_VV_div_VH,62,4,0.7218043073293863,1.0729249672314476,0.8019001489076173,0.8539470483246218,1728.0
embedding_plus_context,S1_VV_div_VH,42,1,0.6381257194506887,1.0381219452710646,0.8010309445871866,0.7992693533335038,755.0
embedding_plus_context,S1_VV_div_VH,42,2,0.5698980339937563,1.0114114241487673,0.7489316721777849,0.7550589684343675,621.0
embedding_plus_context,S1_VV_div_VH,42,3,0.7590923869762781,1.1562639579391634,0.8569564618459562,0.8716345332549609,712.0
embedding_plus_context,S1_VV_div_VH,42,4,0.8125392270310223,1.0006188971028327,0.7680495275015334,0.9043297446781038,799.0
