feature_set,target,model_name,seed,fold,r2,rmse,mae,pearson_r,n_valid
embedding_only,S1_VH,lightgbm,42,4,0.941023257475509,1.204858209300373,0.8837163770601928,0.9702686443491538,772
embedding_only,S1_VH,lightgbm,52,1,0.9416266310423405,1.1959715605174115,0.8822611611347445,0.9711427890539823,777
embedding_only,S1_VH,lightgbm,52,2,0.9469201970414222,1.1380738484479491,0.8667052929925215,0.9732682905862831,687
embedding_only,S1_VH,lightgbm,52,3,0.9437691811035004,1.1824060076572933,0.869861776067955,0.9715827900575196,644
embedding_only,S1_VH,lightgbm,52,4,0.941023257475509,1.204858209300373,0.8837163770601928,0.9702686443491538,772
embedding_only,S1_VH,lightgbm,62,1,0.9416266310423405,1.1959715605174115,0.8822611611347445,0.9711427890539823,777
embedding_only,S1_VH,lightgbm,62,2,0.9469201970414222,1.1380738484479491,0.8667052929925215,0.9732682905862831,687
embedding_only,S1_VH,lightgbm,62,3,0.9437691811035004,1.1824060076572933,0.869861776067955,0.9715827900575196,644
embedding_only,S1_VH,lightgbm,62,4,0.941023257475509,1.204858209300373,0.8837163770601928,0.9702686443491538,772
embedding_only,S1_VV_div_VH,ridge,42,1,0.7171043523133049,1.0335434544149145,0.765540411122866,0.8470962214448475,777
embedding_only,S1_VV_div_VH,ridge,42,2,0.6958398850353675,1.0931540761068534,0.8248175781848112,0.8352708006125129,687
embedding_only,S1_VV_div_VH,ridge,42,3,0.7443199533400437,1.0390717840477044,0.7727986554335383,0.8631920603859398,644
embedding_only,S1_VV_div_VH,ridge,42,4,0.7568428998574149,1.1133024303775876,0.7851298171700046,0.8753215840043154,772
embedding_only,S1_VV_div_VH,ridge,52,1,0.7171043523133049,1.0335434544149145,0.765540411122866,0.8470962214448475,777
embedding_only,S1_VV_div_VH,ridge,52,2,0.6958398850353675,1.0931540761068534,0.8248175781848112,0.8352708006125129,687
embedding_only,S1_VV_div_VH,ridge,52,3,0.7443199533400437,1.0390717840477044,0.7727986554335383,0.8631920603859398,644
embedding_only,S1_VV_div_VH,ridge,52,4,0.7568428998574149,1.1133024303775876,0.7851298171700046,0.8753215840043154,772
