system:index,region,dw_label_name,latitude,longitude,overlap_at_5,overlap_at_10,overlap_at_20
1_1_1_2_100,sf_bay_urban,trees,37.91820255303444,-122.53797518111035,0.0,0.0,0.0
1_1_1_2_101,sf_bay_urban,trees,37.1955977384887,-121.85624371199206,0.0,0.0,0.0
1_1_1_2_102,sf_bay_urban,trees,37.42035622257541,-122.1851169375082,0.0,0.0,0.0
1_1_1_2_103,sf_bay_urban,trees,37.64673167417352,-121.99135033072363,0.0,0.0,0.05
1_1_1_2_104,sf_bay_urban,trees,37.848493286986766,-121.90196795995374,0.0,0.0,0.05
1_1_1_2_105,sf_bay_urban,trees,37.79019262504741,-121.91373589017572,0.0,0.0,0.0
1_1_1_2_106,sf_bay_urban,trees,37.188770542329394,-122.0677071298738,0.0,0.0,0.0
1_1_1_2_107,sf_bay_urban,trees,37.22128955561452,-122.09663288202243,0.0,0.0,0.0
1_1_1_2_108,sf_bay_urban,trees,37.89781079608493,-121.92370718982944,0.0,0.0,0.0
1_1_1_2_109,sf_bay_urban,trees,37.25030513929158,-122.05602903118024,0.0,0.0,0.1
1_1_1_2_110,sf_bay_urban,trees,37.57747156576791,-122.42595526518066,0.0,0.1,0.05
1_1_1_2_111,sf_bay_urban,trees,37.46356518774155,-121.708381016226,0.0,0.0,0.0
1_1_1_2_112,sf_bay_urban,trees,37.16146175769216,-121.82704846525816,0.4,0.2,0.1
1_1_1_2_113,sf_bay_urban,trees,37.35603684823245,-122.30171826138692,0.0,0.0,0.0
1_1_1_2_114,sf_bay_urban,trees,37.209701288449374,-122.26857042740292,0.0,0.0,0.0
1_1_1_2_115,sf_bay_urban,trees,37.3128278830663,-122.11576699757418,0.0,0.0,0.0
1_1_1_2_116,sf_bay_urban,trees,37.39026266055741,-122.2602160952606,0.0,0.0,0.0
1_1_1_2_117,sf_bay_urban,trees,37.43751404450209,-122.33100333964924,0.0,0.0,0.05
1_1_1_2_118,sf_bay_urban,trees,37.62229749844548,-121.93897854965948,0.0,0.0,0.05
1_1_1_2_119,sf_bay_urban,trees,37.87526308245353,-121.83603161809936,0.0,0.0,0.0
1_1_1_2_120,sf_bay_urban,trees,37.34462824412413,-121.75931549283555,0.2,0.1,0.15
1_1_1_2_121,sf_bay_urban,trees,37.86268666847586,-122.20236459096331,0.0,0.0,0.0
1_1_1_2_122,sf_bay_urban,trees,37.56282902663676,-121.74512211134648,0.2,0.1,0.05
1_1_1_2_123,sf_bay_urban,trees,37.24150164950721,-122.30836579448942,0.0,0.0,0.0
1_1_1_2_124,sf_bay_urban,trees,37.174217834726655,-122.06186808052702,0.0,0.0,0.0
1_1_1_2_125,sf_bay_urban,trees,37.925029749193754,-122.25284990993084,0.0,0.0,0.05
1_1_1_2_126,sf_bay_urban,trees,37.62867553696272,-121.791026022365,0.0,0.0,0.05
1_1_1_2_127,sf_bay_urban,trees,37.55321705309668,-122.44625719060176,0.0,0.0,0.0
1_1_1_2_128,sf_bay_urban,trees,37.26737312968985,-122.16301838151888,0.0,0.0,0.0
1_1_1_2_129,sf_bay_urban,trees,37.53471175824382,-122.44095713042546,0.0,0.0,0.0
1_1_1_2_130,sf_bay_urban,trees,37.339148520891,-122.15601152230276,0.0,0.0,0.05
1_1_1_2_131,sf_bay_urban,trees,37.441736126337446,-121.71161495124882,0.0,0.0,0.0
1_1_1_2_132,sf_bay_urban,trees,37.1805958732439,-121.96574834512624,0.0,0.0,0.0
1_1_1_2_133,sf_bay_urban,trees,37.848223792401534,-121.72841344706184,0.0,0.0,0.05
1_1_1_2_134,sf_bay_urban,trees,37.16864827996511,-122.10552620333524,0.0,0.0,0.05
1_1_1_2_135,sf_bay_urban,trees,37.49904864146428,-122.40331772002084,0.0,0.1,0.1
1_1_1_2_136,sf_bay_urban,trees,37.20125712477866,-122.08711074001076,0.0,0.1,0.05
1_1_1_2_137,sf_bay_urban,trees,37.44092764258174,-121.806297382195,0.0,0.0,0.05
1_1_1_2_138,sf_bay_urban,trees,37.25389840042806,-121.7378457575451,0.0,0.0,0.0
1_1_1_2_139,sf_bay_urban,trees,37.24257962784815,-122.1549335439618,0.0,0.0,0.05
1_1_1_2_140,sf_bay_urban,trees,37.30249725729893,-122.31663029510332,0.0,0.0,0.0
1_1_1_2_141,sf_bay_urban,trees,37.16442619812975,-122.165443832786,0.0,0.0,0.05
1_1_1_2_142,sf_bay_urban,trees,37.78875532059282,-122.15861663662668,0.0,0.0,0.0
1_1_1_2_143,sf_bay_urban,trees,37.521596355095674,-122.4676370943638,0.2,0.1,0.05
1_1_1_2_144,sf_bay_urban,trees,37.441736126337446,-122.27890105317027,0.0,0.0,0.05
1_1_1_2_145,sf_bay_urban,trees,37.61142788350763,-121.92613264109656,0.0,0.0,0.0
1_1_1_2_146,sf_bay_urban,trees,37.16739063856735,-121.89361362781143,0.0,0.0,0.0
1_1_1_2_147,sf_bay_urban,trees,37.19416043403411,-122.12313318290396,0.0,0.0,0.0
1_1_1_2_148,sf_bay_urban,trees,37.300161637560215,-122.12672644404044,0.0,0.0,0.05
1_1_1_2_149,sf_bay_urban,trees,37.294412419741846,-122.15035213601278,0.0,0.0,0.05
1_1_1_2_150,sf_bay_urban,trees,37.407150987898845,-121.73757626295988,0.0,0.0,0.0
1_1_1_2_151,sf_bay_urban,trees,37.858284923583675,-121.88373215968612,0.0,0.0,0.0
1_1_1_2_152,sf_bay_urban,trees,37.81633359981529,-122.09537524062468,0.0,0.0,0.0
1_1_1_2_153,sf_bay_urban,trees,37.94524184308644,-122.12241453067668,0.0,0.0,0.05
1_1_1_2_154,sf_bay_urban,trees,37.40176109619413,-122.38768703407716,0.2,0.1,0.05
1_1_1_2_155,sf_bay_urban,trees,37.246711878155104,-122.18709323113328,0.2,0.1,0.05
1_1_1_2_156,sf_bay_urban,trees,37.69479154187392,-121.93610394075029,0.0,0.1,0.15
1_1_1_2_157,sf_bay_urban,trees,37.50120459814616,-122.3758292723268,0.0,0.0,0.0
1_1_1_2_158,sf_bay_urban,trees,37.78974346740535,-122.1278044223814,0.0,0.0,0.0
1_1_1_2_159,sf_bay_urban,trees,37.64933678849747,-122.02018625134389,0.0,0.0,0.05
1_1_1_2_160,sf_bay_urban,grass,37.66424882221386,-121.9317920273865,0.0,0.0,0.0
1_1_1_2_161,sf_bay_urban,grass,37.34130447757288,-121.99081134155315,0.0,0.0,0.0
1_1_1_2_162,sf_bay_urban,grass,37.27860207074134,-122.3954125455206,0.0,0.0,0.0
1_1_1_2_163,sf_bay_urban,grass,37.34507740176619,-122.26300087264138,0.0,0.0,0.05
1_1_1_2_164,sf_bay_urban,grass,37.70763745043683,-122.22509196765154,0.0,0.0,0.0
1_1_1_2_165,sf_bay_urban,grass,37.63756885827551,-122.42523661295336,0.0,0.0,0.0
1_1_1_2_166,sf_bay_urban,grass,37.760009231500995,-121.91768847742584,0.0,0.1,0.1
1_1_1_2_167,sf_bay_urban,grass,37.31426518752089,-122.359300271099,0.0,0.0,0.05
1_1_1_2_168,sf_bay_urban,grass,37.54396440567025,-122.04021868217974,0.0,0.1,0.05
1_1_1_2_169,sf_bay_urban,grass,37.30591085537858,-122.33163216034812,0.0,0.0,0.0
1_1_1_2_170,sf_bay_urban,grass,37.72533426153398,-121.8964882367206,0.0,0.0,0.05
1_1_1_2_171,sf_bay_urban,grass,37.20062830407977,-122.35597650454775,0.0,0.0,0.0
1_1_1_2_172,sf_bay_urban,grass,37.743839556386845,-122.0158743379801,0.0,0.0,0.0
1_1_1_2_173,sf_bay_urban,grass,37.37157770264771,-122.35831212428646,0.0,0.0,0.0
1_1_1_2_174,sf_bay_urban,grass,37.649426620025885,-122.44149611959593,0.0,0.0,0.0
1_1_1_2_175,sf_bay_urban,grass,37.589329327518286,-121.98110953648468,0.0,0.0,0.0
1_1_1_2_176,sf_bay_urban,grass,37.350197798885674,-122.32112187152391,0.0,0.0,0.0
1_1_1_2_177,sf_bay_urban,grass,37.74518702931302,-122.1203484055232,0.0,0.0,0.0
1_1_1_2_178,sf_bay_urban,grass,37.168558448436706,-122.04911200349252,0.0,0.0,0.0
1_1_1_2_179,sf_bay_urban,grass,37.45341422503101,-121.87429984920286,0.0,0.0,0.0
1_1_1_2_180,sf_bay_urban,grass,37.83429990549768,-121.85687253269094,0.0,0.0,0.0
1_1_1_2_181,sf_bay_urban,grass,37.93158745076782,-122.30279623972788,0.0,0.0,0.0
1_1_1_2_182,sf_bay_urban,grass,37.774292444518494,-122.00141146190578,0.0,0.0,0.0
1_1_1_2_183,sf_bay_urban,grass,37.16783979620941,-121.8541775868386,0.0,0.1,0.05
1_1_1_2_184,sf_bay_urban,grass,37.708984923363005,-122.48290845419385,0.0,0.0,0.0
1_1_1_2_185,sf_bay_urban,grass,37.668470904049215,-122.39676001844676,0.0,0.0,0.0
1_1_1_2_186,sf_bay_urban,grass,37.66604545278209,-121.96520935595576,0.0,0.0,0.0
1_1_1_2_187,sf_bay_urban,grass,37.8412169331854,-121.968533122507,0.0,0.0,0.0
1_1_1_2_188,sf_bay_urban,grass,37.56741043458577,-121.8482487059634,0.0,0.0,0.05
1_1_1_2_189,sf_bay_urban,grass,37.51144539238513,-122.08693107695396,0.0,0.1,0.2
1_1_1_2_190,sf_bay_urban,grass,37.76018889455782,-122.01084377238902,0.0,0.0,0.0
1_1_1_2_191,sf_bay_urban,grass,37.698294971481985,-121.82102975285456,0.0,0.0,0.0
