feature_set,target,model_name,fraction,seed,n_train,train_r2,train_rmse,valid_r2,valid_rmse
embedding_plus_context,S1_VV,ridge,0.2,13,396,0.8899850426987875,1.2633378253655048,0.8459848255877143,1.5751202845980548
embedding_plus_context,S1_VV,ridge,0.2,23,396,0.8994457147048867,1.186010127718249,0.8459750659378982,1.5751701900016255
embedding_plus_context,S1_VV,ridge,0.2,33,396,0.906249324949834,1.1755602314458184,0.8506087699568988,1.5512954546829005
embedding_plus_context,S1_VV,ridge,0.4,13,792,0.9064543223718897,1.19992364791289,0.8629789652517442,1.4856810703667402
embedding_plus_context,S1_VV,ridge,0.4,23,792,0.9138353584613129,1.1200330129104283,0.8645760152833124,1.476997508131443
embedding_plus_context,S1_VV,ridge,0.4,33,792,0.9193515598227399,1.0806311661464325,0.8559612080940411,1.5232518123684937
embedding_plus_context,S1_VV,ridge,0.6,13,1224,0.9085913102925387,1.1865760301292492,0.8682549715717927,1.4567971602059313
embedding_plus_context,S1_VV,ridge,0.6,23,1224,0.9134057752717797,1.1307616770544835,0.868570325686059,1.4550525698016532
embedding_plus_context,S1_VV,ridge,0.6,33,1224,0.9142842355547514,1.1220105231240587,0.8679809003645991,1.4583116717094124
embedding_plus_context,S1_VV,ridge,0.8,13,1620,0.9102244064647751,1.1704130543934586,0.8699368348103881,1.4474685215313212
embedding_plus_context,S1_VV,ridge,0.8,23,1620,0.9091800026470336,1.159250436859253,0.8688361469822309,1.453580376663746
embedding_plus_context,S1_VV,ridge,0.8,33,1620,0.907984725722918,1.1514189398737549,0.8701492484139619,1.4462860666820394
embedding_plus_context,S1_VV,ridge,1.0,13,2016,0.9093243515797529,1.157041112986271,0.8704684806184497,1.4445071582009104
embedding_plus_context,S1_VV,ridge,1.0,23,2016,0.9093243515797529,1.157041112986271,0.8704684806184497,1.4445071582009104
embedding_plus_context,S1_VV,ridge,1.0,33,2016,0.9093243515797529,1.157041112986271,0.8704684806184497,1.4445071582009104
embedding_plus_context,S1_VV,lightgbm,0.1,13,216,0.9989865184487119,0.1203698025534094,0.7689997258975851,1.9290265988075588
embedding_plus_context,S1_VV,lightgbm,0.1,23,216,0.9987134562918584,0.13261644102672418,0.7868111437734613,1.8531655503182942
embedding_plus_context,S1_VV,lightgbm,0.1,33,216,0.9987589120751103,0.13089169580576837,0.7723383134514452,1.915036001534195
embedding_plus_context,S1_VV,lightgbm,0.2,13,396,0.9984307189133956,0.15088428266010778,0.8337268470037257,1.6366018380056484
embedding_plus_context,S1_VV,lightgbm,0.2,23,396,0.9988117387712937,0.12892705703691826,0.8305043327637969,1.6523850952127892
embedding_plus_context,S1_VV,lightgbm,0.2,33,396,0.9985689343571773,0.14524040844456837,0.8338026020741963,1.6362289726026427
embedding_plus_context,S1_VV,lightgbm,0.4,13,792,0.9965355505030973,0.23091857413373143,0.8704735061379224,1.4444791361824092
embedding_plus_context,S1_VV,lightgbm,0.4,23,792,0.9965993624546433,0.22250842189059808,0.8688792657204791,1.4533414323881197
embedding_plus_context,S1_VV,lightgbm,0.4,33,792,0.9970447194619205,0.2068611142008314,0.8640501084493241,1.4798626225471911
embedding_plus_context,S1_VV,lightgbm,0.6,13,1224,0.9931733786456862,0.324268480591574,0.8844569646983752,1.364281074404763
embedding_plus_context,S1_VV,lightgbm,0.6,23,1224,0.994082702858067,0.29558902584506314,0.887784284234948,1.3444938202882397
embedding_plus_context,S1_VV,lightgbm,0.6,33,1224,0.9937088147217864,0.30397146495906463,0.8878361999884103,1.3441827743520451
