system:index,bare,built,crops,flooded_vegetation,grass,label_mode,latitude,longitude,shrub_and_scrub,snow_and_ice,trees,water,.geo
16_0,0.03204404434654862,0.031300107133574784,0.04418096714653075,0.027102079708129168,0.04423439793754369,1,37.2715053799968,-121.69625375989037,0.06475593731738627,0.031173306051641703,0.6923014076892287,0.02918050647713244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.69625375989037,37.2715053799968]}"
17_0,0.05103813495952636,0.7395623998017982,0.03146924788597971,0.02313681470695883,0.03353320085443556,6,37.72910718572729,-121.92990556528986,0.02048983843997121,0.04784850182477385,0.03215612471103668,0.021630168077535927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.92990556528986,37.72910718572729]}"
18_0,0.03177149978000671,0.03490681666880846,0.08289416145998985,0.029609466437250376,0.09153710049577057,1,37.73584455035818,-121.39639611805127,0.11609870381653309,0.03493344457820058,0.24350400199182332,0.03154625394381583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.39639611805127,37.73584455035818]}"
19_0,0.10092565999366343,0.031657375511713326,0.03434276697225869,0.02634629572276026,0.06496928876731545,5,37.24904749789381,-121.35291765829989,0.4573227616492659,0.03500901465304196,0.23492853727657348,0.03649049485102296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.35291765829989,37.24904749789381]}"
20_0,0.1174608051078394,0.0382394288899377,0.05361951910890639,0.02833152422681451,0.07475137826986611,5,37.137746234191404,-121.30270183391761,0.4597418757621199,0.0319269128376618,0.15232209267560393,0.03293791343457997,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30270183391761,37.137746234191404]}"
21_0,0.03471703385002911,0.022436422877945006,0.026524907094426453,0.04714326479006559,0.026801489759236574,0,37.84669665641853,-121.56438107618163,0.028904573991894722,0.026547351852059364,0.03883550548925996,0.7457024867180735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56438107618163,37.84669665641853]}"
22_0,0.3755620023002848,0.04042715975083411,0.13581338656755784,0.0354241372551769,0.050182739992372015,7,37.01530586096591,-121.03724966746029,0.12841663346625865,0.0397201290470548,0.03617679643106054,0.041491740460818015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.03724966746029,37.01530586096591]}"
23_0,0.2223953688517213,0.03399864211678505,0.05223333928734064,0.03209048882126808,0.10835806117393076,5,37.7224596526248,-121.75410526418767,0.31185653153806925,0.03131888899952173,0.053475151071324944,0.034145102836191654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.75410526418767,37.7224596526248]}"
24_0,0.03179595712572336,0.728619164088741,0.03156781569123268,0.035036189714446664,0.029851293424144387,6,37.9592555615187,-121.25122836813756,0.03265604586340487,0.025890074903145432,0.04210712015628815,0.03833794593811035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.25122836813756,37.9592555615187]}"
25_0,0.07735181809403002,0.034071833128109574,0.06367274769581854,0.024195210076868534,0.04324186220765114,5,37.52366248024915,-121.51138047441857,0.5278708937112242,0.03659547516144812,0.14246201515197754,0.027754046954214573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.51138047441857,37.52366248024915]}"
26_0,0.2403260802384466,0.04136521392501891,0.16032487177290022,0.03502476611174643,0.07414352730847895,4,37.48665189054343,-121.81312457835432,0.14693370675668121,0.035650189081206915,0.04033902306885769,0.038002876983955505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81312457835432,37.48665189054343]}"
