system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,.geo
10,0.13016532103037293,0.04822760476739715,0.11909265667051133,-0.14173010380622836,0.09356401384083046,0.16000000000000003,0.07535563244905807,0.044844290657439445,0.1085121107266436,-0.11909265667051133,-0.024605920799692427,-0.13016532103037293,-0.2761399461745483,-0.11374086889657825,0.08882737408688965,0.21413302575932336,-0.09356401384083046,0.10340638216070744,-0.06698961937716265,-0.2519646289888504,-0.09842368319876971,0.0629911572472126,-0.04822760476739715,0.16633602460592078,0.13588619761630144,0.19986159169550174,-0.12456747404844293,0.12456747404844293,0.12456747404844293,0.06698961937716265,0.15378700499807765,-5.536332179930795E-4,0.21413302575932336,-0.04822760476739715,-0.14173010380622836,-0.05173394848135333,0.03844675124951941,0.044844290657439445,-0.08882737408688965,0.186082276047674,0.044844290657439445,-0.09842368319876971,0.14769703960015382,-0.2761399461745483,0.12456747404844293,0.10340638216070744,-0.004982698961937716,-0.08421376393694734,-0.2069357939254133,-0.1085121107266436,-0.003936947327950788,0.05173394848135333,0.029773164167627833,-0.1085121107266436,-0.03254133025759323,-0.186082276047674,0.12456747404844293,-0.006151480199923107,0.008858131487889272,0.11909265667051133,0.17279507881584008,-0.03254133025759323,-0.004982698961937716,-0.16633602460592078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16083740064185,37.10447618356002]}"
11,0.11909265667051133,0.1929104190695886,-0.12456747404844293,0.08421376393694734,0.14173010380622836,-0.05911572472126105,0.07111111111111111,0.08421376393694734,0.0271280276816609,-0.186082276047674,0.14769703960015382,-0.0629911572472126,-0.24415224913494812,-0.21413302575932336,0.044844290657439445,0.186082276047674,-0.09356401384083046,-0.07972318339100345,-0.13588619761630144,0.03844675124951941,-0.002214532871972318,0.007443291041906958,-0.003936947327950788,0.10340638216070744,0.2288965782391388,0.2288965782391388,-0.1085121107266436,0.012056901191849288,0.07972318339100345,0.07535563244905807,0.1085121107266436,-0.0271280276816609,0.3278123798539023,-0.0271280276816609,-0.10340638216070744,-0.09842368319876971,-0.05173394848135333,0.0271280276816609,-0.11374086889657825,0.08421376393694734,0.010396001537870049,-0.12456747404844293,0.17279507881584008,-0.1929104190695886,0.09842368319876971,0.16633602460592078,0.17937716262975778,-0.09356401384083046,-0.04822760476739715,0.029773164167627833,-0.044844290657439445,-0.08421376393694734,0.05911572472126105,0.13016532103037293,-0.10340638216070744,-0.14769703960015382,0.15378700499807765,-0.11909265667051133,-0.11909265667051133,-0.1085121107266436,0.19986159169550174,-0.029773164167627833,0.05173394848135333,-0.08421376393694734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.18625875395118,37.11433155812889]}"
12,0.17937716262975778,0.07972318339100345,0.07972318339100345,-0.10340638216070744,0.1085121107266436,0.14769703960015382,0.10340638216070744,0.044844290657439445,0.044844290657439445,-0.06698961937716265,-0.04822760476739715,-0.13016532103037293,-0.2519646289888504,-0.12456747404844293,-0.024605920799692427,0.14173010380622836,-0.09842368319876971,-0.024605920799692427,-0.15378700499807765,-0.22145328719723184,-0.0271280276816609,0.003014225297962322,-0.13016532103037293,0.22145328719723184,0.19986159169550174,0.03543252595155709,-0.05911572472126105,0.09842368319876971,0.05536332179930796,0.03254133025759323,0.186082276047674,-0.12456747404844293,0.14769703960015382,-0.022206843521722412,-0.2519646289888504,-0.044844290657439445,0.019930795847750864,0.04822760476739715,-0.05536332179930796,0.08421376393694734,0.03543252595155709,-0.11909265667051133,0.08421376393694734,-0.2599000384467512,0.12456747404844293,0.16633602460592078,0.11374086889657825,-0.16633602460592078,-0.3278123798539023,-0.04822760476739715,-0.044844290657439445,-0.004982698961937716,0.05911572472126105,-0.14173010380622836,-0.03844675124951941,-0.2519646289888504,0.06698961937716265,0.0015378700499807767,-0.006151480199923107,0.11374086889657825,0.10340638216070744,-0.019930795847750864,0.017777777777777778,-0.09356401384083046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19551859208298,37.122494485502294]}"
13,0.15378700499807765,0.12456747404844293,-0.07111111111111111,0.003936947327950788,0.08421376393694734,0.019930795847750864,0.07972318339100345,0.16633602460592078,0.14173010380622836,-0.11909265667051133,0.15378700499807765,-0.09356401384083046,-0.21413302575932336,-0.12456747404844293,0.10340638216070744,0.186082276047674,0.1085121107266436,0.04822760476739715,-0.2069357939254133,-0.11374086889657825,-0.07111111111111111,-0.019930795847750864,-0.06698961937716265,0.007443291041906958,0.2599000384467512,0.2364628988850442,-0.12456747404844293,0.10340638216070744,0.21413302575932336,0.17937716262975778,-0.04822760476739715,0.03844675124951941,0.21413302575932336,0.1929104190695886,-0.003936947327950788,-0.186082276047674,-0.05911572472126105,0.03543252595155709,-0.14769703960015382,0.13588619761630144,0.05911572472126105,-0.04822760476739715,0.2364628988850442,-0.14769703960015382,0.07972318339100345,-0.029773164167627833,-0.09356401384083046,0.12456747404844293,0.07535563244905807,-0.03844675124951941,-0.006151480199923107,-0.07111111111111111,0.07535563244905807,0.09356401384083046,-0.012056901191849288,-0.07972318339100345,0.2519646289888504,-0.10340638216070744,0.012056901191849288,-0.003014225297962322,0.12456747404844293,-0.03844675124951941,0.09842368319876971,0.10340638216070744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.18940807792684,37.13330702523792]}"
14,0.17937716262975778,0.09356401384083046,0.10340638216070744,-0.1085121107266436,0.11374086889657825,0.186082276047674,0.07535563244905807,0.0271280276816609,0.09842368319876971,-0.13588619761630144,0.010396001537870049,-0.1085121107266436,-0.24415224913494812,-0.13588619761630144,0.022206843521722412,0.17937716262975778,-0.11909265667051133,-0.022206843521722412,-0.16633602460592078,-0.16633602460592078,-0.04822760476739715,0.010396001537870049,-0.09356401384083046,0.19986159169550174,0.16633602460592078,0.09356401384083046,-0.05911572472126105,0.07535563244905807,0.05536332179930796,0.019930795847750864,0.16000000000000003,-0.07111111111111111,0.14173010380622836,-0.04822760476739715,-0.2364628988850442,0.010396001537870049,-0.022206843521722412,0.002214532871972318,-0.09842368319876971,0.13016532103037293,0.03254133025759323,-0.09356401384083046,0.09356401384083046,-0.24415224913494812,0.15378700499807765,0.21413302575932336,0.12456747404844293,-0.1929104190695886,-0.31009611687812383,-0.0629911572472126,-0.041584006151480196,0.029773164167627833,0.03844675124951941,-0.07972318339100345,-0.08421376393694734,-0.2288965782391388,0.05536332179930796,-0.003936947327950788,0.01384083044982699,0.07972318339100345,0.13016532103037293,-0.01384083044982699,0.019930795847750864,-0.16000000000000003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17342008388243,37.1381089338753]}"
15,0.14769703960015382,0.2288965782391388,-0.07972318339100345,0.041584006151480196,0.13588619761630144,-0.03254133025759323,0.10340638216070744,0.14769703960015382,-0.05173394848135333,-0.2069357939254133,0.14769703960015382,-0.012056901191849288,-0.21413302575932336,-0.21413302575932336,0.1085121107266436,0.14769703960015382,-0.004982698961937716,0.04822760476739715,-0.11909265667051133,0.17279507881584008,-0.03254133025759323,0.029773164167627833,0.004982698961937716,0.11909265667051133,0.2599000384467512,0.2364628988850442,-0.07972318339100345,0.017777777777777778,0.08882737408688965,0.044844290657439445,0.10340638216070744,0.10340638216070744,0.3278123798539023,0.017777777777777778,-0.044844290657439445,-0.07972318339100345,0.01574778931180315,-0.05536332179930796,-0.16000000000000003,0.17279507881584008,-0.10340638216070744,-0.08421376393694734,0.17937716262975778,-0.2069357939254133,0.17279507881584008,0.14769703960015382,0.08882737408688965,-0.07535563244905807,-0.0271280276816609,0.05536332179930796,-0.024605920799692427,-0.05911572472126105,0.05173394848135333,0.0629911572472126,-0.04822760476739715,-0.09356401384083046,0.15378700499807765,-0.14769703960015382,-0.044844290657439445,-0.13016532103037293,0.14173010380622836,0.05536332179930796,-0.044844290657439445,-0.09842368319876971,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1692388709372,37.13876544595489]}"
16,0.186082276047674,0.07972318339100345,0.05173394848135333,-0.022206843521722412,0.11374086889657825,0.13016532103037293,0.041584006151480196,0.11374086889657825,-0.044844290657439445,-0.1929104190695886,0.15378700499807765,-0.08882737408688965,-0.24415224913494812,-0.08421376393694734,0.11909265667051133,0.15378700499807765,-0.006151480199923107,-6.151480199923106E-5,-0.16633602460592078,0.044844290657439445,-0.05911572472126105,-0.022206843521722412,0.01574778931180315,0.16000000000000003,0.21413302575932336,0.11909265667051133,-0.10340638216070744,0.06698961937716265,0.003014225297962322,0.10340638216070744,0.13016532103037293,0.004982698961937716,0.3014225297962323,-0.08882737408688965,-0.19986159169550174,-0.022206843521722412,-0.041584006151480196,0.017777777777777778,-0.21413302575932336,0.1085121107266436,-0.1085121107266436,-0.13016532103037293,0.12456747404844293,-0.2364628988850442,0.16633602460592078,0.2679584775086506,0.11909265667051133,-0.14769703960015382,-0.05536332179930796,0.019930795847750864,-0.07111111111111111,0.006151480199923107,0.029773164167627833,-0.010396001537870049,-0.03844675124951941,-0.13588619761630144,0.11374086889657825,-0.11374086889657825,0.024605920799692427,0.029773164167627833,0.17937716262975778,0.012056901191849288,0.08882737408688965,-0.21413302575932336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16178005255878,37.14459851783921]}"
17,0.13588619761630144,0.041584006151480196,0.13016532103037293,-0.14769703960015382,0.07972318339100345,0.15378700499807765,0.07972318339100345,0.05173394848135333,0.019930795847750864,-0.1085121107266436,-0.019930795847750864,-0.16000000000000003,-0.2679584775086506,-0.09356401384083046,0.008858131487889272,0.1085121107266436,-0.07972318339100345,0.004982698961937716,-0.15378700499807765,-0.22145328719723184,-0.07535563244905807,0.05536332179930796,-0.13588619761630144,0.14769703960015382,0.16633602460592078,0.10340638216070744,-0.05536332179930796,0.14769703960015382,0.07972318339100345,0.041584006151480196,0.16633602460592078,-0.09842368319876971,0.08882737408688965,-0.0629911572472126,-0.22145328719723184,-0.0629911572472126,0.03844675124951941,0.07535563244905807,-0.09842368319876971,0.14173010380622836,0.017777777777777778,-0.14769703960015382,0.15378700499807765,-0.2679584775086506,0.15378700499807765,0.2364628988850442,0.11374086889657825,-0.1085121107266436,-0.2679584775086506,-0.03543252595155709,-0.022206843521722412,0.0271280276816609,0.10340638216070744,-0.11909265667051133,-0.029773164167627833,-0.186082276047674,0.05911572472126105,-0.04822760476739715,-0.029773164167627833,0.11909265667051133,0.1929104190695886,-0.05911572472126105,0.05911572472126105,-0.13588619761630144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.17232008506954,37.151070629749874]}"
18,0.13588619761630144,0.09842368319876971,0.05911572472126105,-0.017777777777777778,0.12456747404844293,0.13016532103037293,0.07535563244905807,0.044844290657439445,0.022206843521722412,-0.2761399461745483,0.16000000000000003,-0.03543252595155709,-0.2761399461745483,-0.09842368319876971,0.07111111111111111,0.12456747404844293,-0.0629911572472126,-0.03254133025759323,-0.2069357939254133,0.006151480199923107,-0.05173394848135333,0.003936947327950788,-0.041584006151480196,0.1929104190695886,0.2069357939254133,0.07972318339100345,-0.07111111111111111,0.0629911572472126,-0.0015378700499807767,0.006151480199923107,0.24415224913494812,0.08882737408688965,0.29287197231833906,-0.03543252595155709,-0.17279507881584008,0.04822760476739715,-0.07972318339100345,0.0271280276816609,-0.10340638216070744,0.13588619761630144,-0.14173010380622836,-0.11909265667051133,0.13016532103037293,-0.2599000384467512,0.19986159169550174,0.1929104190695886,0.08882737408688965,-0.11909265667051133,-0.17937716262975778,0.019930795847750864,-0.05536332179930796,-0.002214532871972318,0.008858131487889272,-0.012056901191849288,-0.0271280276816609,-0.17937716262975778,0.05536332179930796,-0.13016532103037293,-0.010396001537870049,0.03543252595155709,0.11374086889657825,0.0271280276816609,0.003014225297962322,-0.17279507881584008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16853185521546,37.15407653288673]}"
19,0.16000000000000003,0.08421376393694734,-0.003014225297962322,-0.09842368319876971,0.04822760476739715,0.11909265667051133,0.1085121107266436,0.11374086889657825,0.0629911572472126,-0.14769703960015382,0.041584006151480196,-0.14173010380622836,-0.2761399461745483,-0.04822760476739715,0.07535563244905807,0.09842368319876971,0.16000000000000003,0.022206843521722412,-0.2679584775086506,-0.16000000000000003,-0.05536332179930796,-0.08882737408688965,-0.10340638216070744,0.0629911572472126,0.24415224913494812,0.14173010380622836,-0.10340638216070744,0.05911572472126105,0.2519646289888504,0.2069357939254133,0.08421376393694734,-0.08421376393694734,0.2069357939254133,0.05911572472126105,-0.13016532103037293,-0.14173010380622836,0.01574778931180315,0.09356401384083046,-0.07111111111111111,0.03543252595155709,0.05173394848135333,-0.05173394848135333,0.1085121107266436,-0.2069357939254133,0.2069357939254133,0.01574778931180315,-0.0629911572472126,0.1929104190695886,-0.012056901191849288,-0.041584006151480196,-0.05173394848135333,5.536332179930795E-4,0.06698961937716265,0.01384083044982699,0.14173010380622836,-0.07535563244905807,0.13016532103037293,-0.15378700499807765,0.05911572472126105,0.1085121107266436,0.1929104190695886,-0.07111111111111111,0.14173010380622836,0.12456747404844293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.16858038816703,37.16606447972415]}"
